/Users/adavidbailey/Practice-Bidding-Scenarios/BBA/rule18.csv
ID,Date,Board,North,South,East,West,Result,Score,IMPs,OptimumResult,ParScore,VsPar,DDBidding,DDPlay
118,2024.07.20,118,EPBot1,EPBot3,EPBot2,EPBot4,"3N N =",400,0.00%,"4C N",130,7,"We missed partial",+1
119,2024.07.20,119,EPBot1,EPBot3,EPBot2,EPBot4,"2N N +1",150,0.00%,"3N NS",400,-6,"We missed game",-
120,2024.07.20,120,EPBot1,EPBot3,EPBot2,EPBot4,"3N N =",400,0.00%,"3H NS",140,6,"We overbid - undoubled",+1
121,2024.07.20,121,EPBot1,EPBot3,EPBot2,EPBot4,"2N N +1",150,0.00%,"3SX NS-1",-100,6,"They missed partial",+2
122,2024.07.20,122,EPBot1,EPBot3,EPBot2,EPBot4,"2N N =",120,0.00%,"3N S",400,-7,"We missed game",-
123,2024.07.20,123,EPBot1,EPBot3,EPBot2,EPBot4,"1N N +1",120,0.00%,"3N NS",400,-7,"We missed game",-1
124,2024.07.20,124,EPBot1,EPBot3,EPBot2,EPBot4,"3N N =",600,0.00%,"1N NS+1",120,10,"We overbid - undoubled",+1
125,2024.07.20,125,EPBot1,EPBot3,EPBot2,EPBot4,"3N N =",600,0.00%,"2N NS",120,10,"We overbid - undoubled",+1
126,2024.07.20,126,EPBot1,EPBot3,EPBot2,EPBot4,"3N N -1",-50,0.00%,"4H NS",420,-10,"We missed best contract",-1
127,2024.07.20,127,EPBot1,EPBot3,EPBot2,EPBot4,"2N N =",120,0.00%,"2S NS",110,0,"We overbid - undoubled",+1
128,2024.07.20,128,EPBot1,EPBot3,EPBot2,EPBot4,"2N N =",120,0.00%,"3N NS",400,-7,"We missed game",-1
129,2024.07.20,129,EPBot1,EPBot3,EPBot2,EPBot4,"3N N -1",-50,0.00%,"2C NS+1",110,-4,"We overbid - undoubled",+1
130,2024.07.20,130,EPBot1,EPBot3,EPBot2,EPBot4,"4H N =",620,0.00%,"1H NS+2",140,10,"We overbid - undoubled",+1
131,2024.07.20,131,EPBot1,EPBot3,EPBot2,EPBot4,"2N N =",120,0.00%,"4S NS",420,-7,"We missed game",-1
132,2024.07.20,132,EPBot1,EPBot3,EPBot2,EPBot4,"3N N =",400,0.00%,"3H EW",-140,11,"They missed double",+2
133,2024.07.20,133,EPBot1,EPBot3,EPBot2,EPBot4,"3H N =",140,0.00%,"3N NS+1",630,-10,"We missed game",-1
134,2024.07.20,134,EPBot1,EPBot3,EPBot2,EPBot4,"2N N +1",150,0.00%,"1N NS+1",120,1,"Par was bid",+1
135,2024.07.20,135,EPBot1,EPBot3,EPBot2,EPBot4,"3N N =",400,0.00%,"3N NS+1",430,-1,"Par was bid",-1
136,2024.07.20,136,EPBot1,EPBot3,EPBot2,EPBot4,"4H N -1",-50,0.00%,"4H NS",420,-10,"Par was bid",-1
137,2024.07.20,137,EPBot1,EPBot3,EPBot2,EPBot4,"4H N -1",-50,0.00%,"1H NS+2",140,-5,"We overbid - undoubled",-
138,2024.07.20,138,EPBot1,EPBot3,EPBot2,EPBot4,"3N N =",400,0.00%,"3N NS",400,0,"Par was bid",-
139,2024.07.20,139,EPBot1,EPBot3,EPBot2,EPBot4,"3N N -1",-50,0.00%,"1N NS+1",120,-5,"We overbid - undoubled",-
140,2024.07.20,140,EPBot1,EPBot3,EPBot2,EPBot4,"3N N -2",-200,0.00%,"4H NS",620,-13,"We missed game",-
141,2024.07.20,141,EPBot1,EPBot3,EPBot2,EPBot4,"3N N -1",-100,0.00%,"4SX W-3",500,-12,"We wrong-side contract",-
142,2024.07.20,142,EPBot1,EPBot3,EPBot2,EPBot4,"2N N =",120,0.00%,"1S NS+2",140,-1,"We missed best contract",-
143,2024.07.20,143,EPBot1,EPBot3,EPBot2,EPBot4,"2N N +1",150,0.00%,"2N NS",120,1,"Par was bid",+1
144,2024.07.20,144,EPBot1,EPBot3,EPBot2,EPBot4,"4H N -1",-50,0.00%,"3S EW",-140,3,"We overbid - undoubled",+3
145,2024.07.20,145,EPBot1,EPBot3,EPBot2,EPBot4,"3N N -1",-50,0.00%,"3N NS",400,-10,"Par was bid",-1
146,2024.07.20,146,EPBot1,EPBot3,EPBot2,EPBot4,"2N N +1",150,0.00%,"3N NS+2",660,-11,"We missed game",-2
147,2024.07.20,147,EPBot1,EPBot3,EPBot2,EPBot4,"2N N +1",150,0.00%,"3N NS+1",430,-7,"We missed game",-1
148,2024.07.20,148,EPBot1,EPBot3,EPBot2,EPBot4,"3N N -1",-50,0.00%,"4H NS",420,-10,"We missed game",-
149,2024.07.20,149,EPBot1,EPBot3,EPBot2,EPBot4,"2N N =",120,0.00%,"3N NS+1",630,-11,"We missed game",-2
150,2024.07.20,150,EPBot1,EPBot3,EPBot2,EPBot4,"4S N =",420,0.00%,"1S NS+2",140,7,"We overbid - undoubled",+1
151,2024.07.20,151,EPBot1,EPBot3,EPBot2,EPBot4,"3N N -1",-50,0.00%,"1H NS+2",140,-5,"We overbid - undoubled",-
152,2024.07.20,152,EPBot1,EPBot3,EPBot2,EPBot4,"3N N =",400,0.00%,"1N NS",90,7,"We overbid - undoubled",+2
153,2024.07.20,153,EPBot1,EPBot3,EPBot2,EPBot4,"3N N =",400,0.00%,"2C NS",90,7,"We overbid - undoubled",+3
154,2024.07.20,154,EPBot1,EPBot3,EPBot2,EPBot4,"1N N +1",120,0.00%,"4CX NS-1",-100,6,"They missed partial",+2
155,2024.07.20,155,EPBot1,EPBot3,EPBot2,EPBot4,"3N N -1",-50,0.00%,"4S N",420,-10,"We missed game",+1
156,2024.07.20,156,EPBot1,EPBot3,EPBot2,EPBot4,"3N N =",600,0.00%,"2N S",120,10,"We overbid - undoubled",+3
157,2024.07.20,157,EPBot1,EPBot3,EPBot2,EPBot4,"2N N =",120,0.00%,"3N NS+1",630,-11,"We missed game",-2
158,2024.07.20,158,EPBot1,EPBot3,EPBot2,EPBot4,"2N N =",120,0.00%,"1S N+2",140,-1,"We missed best contract",-
159,2024.07.20,159,EPBot1,EPBot3,EPBot2,EPBot4,"3N N -1",-100,0.00%,"3N NS+1",630,-12,"Par was bid",-2
160,2024.07.20,160,EPBot1,EPBot3,EPBot2,EPBot4,"3N N =",400,0.00%,"3N S+2",460,-2,"We wrong-side contract",-1
